名前,タイプ1,タイプ2
フシギダネ,くさ,どく
フシギソウ,くさ,どく
フシギバナ,くさ,どく
ヒトカゲ,ほのお,
リザード,ほのお,
リザードン,ほのお,ひこう
ゼニガメ,みず,
カメール,みず,
カメックス,みず,
キャタピー,むし,
トランセル,むし,
バタフリー,むし,ひこう
ビードル,むし,どく
コクーン,むし,どく
スピアー,むし,どく
ポッポ,ノーマル,ひこう
ピジョン,ノーマル,ひこう
ピジョット,ノーマル,ひこう
コラッタ,ノーマル,
ラッタ,ノーマル,
オニスズメ,ノーマル,ひこう
オニドリル,ノーマル,ひこう
アーボ,どく,
アーボック,どく,
ピカチュウ,でんき,
ライチュウ,でんき,
サンド,じめん,
サンドパン,じめん,
ニドラン♀,どく,
ニドリーナ,どく,
ニドクイン,どく,じめん
ニドラン♂,どく,
ニドリーノ,どく,
ニドキング,どく,じめん
ピッピ,フェアリー,
ピクシー,フェアリー,
ロコン,ほのお,
キュウコン,ほのお,
プリン,ノーマル,フェアリー
プクリン,ノーマル,フェアリー
ズバット,どく,ひこう
ゴルバット,どく,ひこう
ナゾノクサ,くさ,どく
クサイハナ,くさ,どく
ラフレシア,くさ,どく
パラス,むし,くさ
パラセクト,むし,くさ
コンパン,むし,どく
モルフォン,むし,どく
ディグダ,じめん,
ダグトリオ,じめん,
ニャース,ノーマル,
ペルシアン,ノーマル,
コダック,みず,
ゴルダック,みず,
マンキー,かくとう,
オコリザル,かくとう,
ガーディ,ほのお,
ウインディ,ほのお,
ニョロモ,みず,
ニョロゾ,みず,
ニョロボン,みず,かくとう
ケーシィ,エスパー,
ユンゲラー,エスパー,
フーディン,エスパー,
ワンリキー,かくとう,
ゴーリキー,かくとう,
カイリキー,かくとう,
マダツボミ,くさ,どく
ウツドン,くさ,どく
ウツボット,くさ,どく
メノクラゲ,みず,どく
ドククラゲ,みず,どく
イシツブテ,いわ,じめん
ゴローン,いわ,じめん
ゴローニャ,いわ,じめん
ポニータ,ほのお,
ギャロップ,ほのお,
ヤドン,みず,エスパー
ヤドラン,みず,エスパー
コイル,でんき,はがね
レアコイル,でんき,はがね
カモネギ,ノーマル,ひこう
ドードー,ノーマル,ひこう
ドードリオ,ノーマル,ひこう
パウワウ,みず,
ジュゴン,みず,こおり
ベトベター,どく,
ベトベトン,どく,
シェルダー,みず,
パルシェン,みず,こおり
ゴース,ゴースト,どく
ゴースト,ゴースト,どく
ゲンガー,ゴースト,どく
イワーク,いわ,じめん
スリープ,エスパー,
スリーパー,エスパー,
クラブ,みず,
キングラー,みず,
ビリリダマ,でんき,
マルマイン,でんき,
タマタマ,くさ,エスパー
ナッシー,くさ,エスパー
カラカラ,じめん,
ガラガラ,じめん,
サワムラー,かくとう,
エビワラー,かくとう,
ベロリンガ,ノーマル,
ドガース,どく,
マタドガス,どく,
サイホーン,じめん,いわ
サイドン,じめん,いわ
ラッキー,ノーマル,
モンジャラ,くさ,
ガルーラ,ノーマル,
タッツー,みず,
シードラ,みず,
トサキント,みず,
アズマオウ,みず,
ヒトデマン,みず,
スターミー,みず,エスパー
バリヤード,エスパー,フェアリー
ストライク,むし,ひこう
ルージュラ,こおり,エスパー
エレブー,でんき,
ブーバー,ほのお,
カイロス,むし,
ケンタロス,ノーマル,
コイキング,みず,
ギャラドス,みず,ひこう
ラプラス,みず,こおり
メタモン,ノーマル,
イーブイ,ノーマル,
シャワーズ,みず,
サンダース,でんき,
ブースター,ほのお,
ポリゴン,ノーマル,
オムナイト,いわ,みず
オムスター,いわ,みず
カブト,いわ,みず
カブトプス,いわ,みず
プテラ,いわ,ひこう
カビゴン,ノーマル,
フリーザー,こおり,ひこう
サンダー,でんき,ひこう
ファイヤー,ほのお,ひこう
ミニリュウ,ドラゴン,
ハクリュー,ドラゴン,
